{'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "environ({'SHELL': '/bin/bash', 'PYTHONUNBUFFERED': '1', 'WSL2_GUI_APPS_ENABLED': '1', 'WSL_DISTRO_NAME': 'Ubuntu', 'PYCHARM_DISPLAY_PORT': '36849', 'PYCHARM_UUID': '2ed92def-50e1-32c6-8a0c-ba9c9bec1f2f', 'NAME': 'ZBook', 'PWD': '/home/daniel/Thesis/smlm_score', 'LOGNAME': 'daniel', 'HOME': '/home/daniel', 'LANG': 'C.UTF-8', 'WSL_INTEROP': '/run/WSL/58140_interop', 'WAYLAND_DISPLAY': 'wayland-0', 'PYTHONPATH': '/tmp/MObcVS/:/tmp/MObcVS/src:/home/daniel/.pycharm_helpers/pycharm_plotly_backend:/home/daniel/.pycharm_helpers/pycharm_altair_backend:/home/daniel/.pycharm_helpers/pycharm_matplotlib_backend:/home/daniel/.pycharm_helpers/pycharm_display', 'TERM': 'xterm-256color', 'USER': 'daniel', 'PYTHONIOENCODING': 'UTF-8', 'DISPLAY': ':0', 'SHLVL': '0', 'PYCHARM_PROJECT_ID': '4a4c41a4', 'XDG_RUNTIME_DIR': '/run/user/1000/', 'PYCHARM_INTERACTIVE_PLOTS': '1', 'WSLENV': '', 'XDG_DATA_DIRS': '/usr/local/share:/usr/share:/var/lib/snapd/desktop', 'PATH': '/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files/NVIDIA Corporation/NVIDIA App/NvDLISR:/mnt/c/Program Files/Git/cmd:/mnt/c/Users/User/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/User/AppData/Local/Programs/Antigravity/bin:/mnt/c/Users/User/AppData/Local/JetBrains/Toolbox/scripts:/mnt/c/Users/User/AppData/Local/PowerToys/DSCModules/:/snap/bin', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'HOSTTYPE': 'x86_64', 'PYCHARM_HOSTED': '1', 'PULSE_SERVER': 'unix:/mnt/wslg/PulseServer', 'OLDPWD': '/mnt/c/WINDOWS/system32', '_': '/home/daniel/miniforge3/envs/smlm/bin/python', 'KMP_DUPLICATE_LIB_OK': 'True', 'KMP_INIT_AT_FORK': 'FALSE'})", 'STAT2HEADER_IMP_VERSIONS': "{'IMP_VERSION': '2.22.0', 'PMI_VERSION': '2.22.0'}", 0: 'GMMScoringRestraint_Score', 1: 'AV_0_x', 2: 'AV_0_y', 3: 'AV_0_z', 4: 'AV_1_x', 5: 'AV_1_y', 6: 'AV_1_z', 7: 'AV_2_x', 8: 'AV_2_y', 9: 'AV_2_z', 10: 'AV_3_x', 11: 'AV_3_y', 12: 'AV_3_z', 13: 'AV_4_x', 14: 'AV_4_y', 15: 'AV_4_z', 16: 'AV_5_x', 17: 'AV_5_y', 18: 'AV_5_z', 19: 'AV_6_x', 20: 'AV_6_y', 21: 'AV_6_z', 22: 'AV_7_x', 23: 'AV_7_y', 24: 'AV_7_z', 25: 'Total_Score', 26: 'MonteCarlo_Acceptance_NPC_Complex_0', 27: 'MonteCarlo_Temperature', 28: 'MonteCarlo_Nframe', 29: 'ReplicaExchange_SwapSuccessRatio', 30: 'ReplicaExchange_MinTempFrequency', 31: 'ReplicaExchange_MaxTempFrequency', 32: 'ReplicaExchange_CurrentTemp', 33: 'Stopwatch_None_delta_seconds', 34: 'rmf_file', 35: 'rmf_frame_index'} 
{0: '105.20614146395388', 1: 1010.9046691587397, 2: 470.2889344987167, 3: 661.8130848747574, 4: 1028.6723391289188, 5: 792.027053119325, 6: 641.9642718269545, 7: 813.503827217934, 8: 1033.833684673262, 9: 619.398951945001, 10: 488.9507000881217, 11: 1055.656658323826, 12: 598.1918377424007, 13: 244.7309798942752, 14: 837.301919193224, 15: 593.6543464388333, 16: 224.89307277279602, 17: 509.9219322331546, 18: 615.1828835010024, 19: 441.05466591113475, 20: 269.64616130538366, 21: 643.3815014696154, 22: 767.2711307478744, 23: 250.1319852398638, 24: 663.6156628419294, 25: '0.5260307073197694', 26: '1.0', 27: '1.0', 28: '0', 29: '0', 30: '0', 31: '0', 32: '1.0', 33: '1.6999418870000085', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 0} 
{0: '103.0878320458566', 1: 986.8399093766318, 2: 468.39868135276566, 3: 620.9060300969265, 4: 1024.9989347985027, 5: 788.5946088863368, 6: 636.5117732344344, 7: 825.5302563799454, 8: 1044.0748322536506, 9: 651.3182259144653, 10: 502.5407440716747, 11: 1087.9680158384379, 12: 647.8715499573434, 13: 244.4586559345043, 14: 886.9069109694127, 15: 630.2442826907215, 16: 203.92952857695292, 17: 561.0503082828212, 18: 615.7687636961768, 19: 404.7114693612323, 20: 306.37907408545664, 21: 606.6793618638922, 22: 729.4733576715997, 23: 264.7854124453614, 24: 609.3419727988222, 25: '0.515439160229283', 26: '1.0', 27: '1.0', 28: '1', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.6214514579999957', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 1} 
{0: '104.82374972156617', 1: 955.915060917159, 2: 442.87582740805334, 3: 601.2685292138522, 4: 1010.5083119978945, 5: 761.0488840656138, 6: 598.0180826714266, 7: 825.6129925222542, 8: 1026.8910583950285, 9: 618.4824034916751, 10: 506.13509959625515, 11: 1087.2155127727674, 12: 642.0525612571107, 13: 238.27632229392327, 14: 899.1762575161099, 15: 657.4007391393674, 16: 181.1614801633761, 17: 575.5268223399595, 18: 662.2601884429808, 19: 367.9294355125874, 20: 310.67187431120857, 21: 647.3260042422313, 22: 689.2068521606811, 23: 252.51617554495198, 24: 622.7060420677573, 25: '0.5241187486078309', 26: '1.0', 27: '1.0', 28: '2', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.6324943030000014', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 2} 
{0: '112.68123516715309', 1: 941.1563952649963, 2: 443.8257769238878, 3: 581.8274129400055, 4: 1002.1625213501077, 5: 760.1933986736778, 6: 561.4592284952994, 7: 825.0723878929504, 8: 1031.0780966858927, 9: 584.64746382663, 10: 509.63680609284364, 11: 1100.080168567565, 12: 629.3668557272362, 13: 239.7176959020254, 14: 919.3992016705984, 15: 672.2704081985393, 16: 176.20115388518798, 17: 597.6861338813286, 18: 694.6540458120445, 19: 355.5949684190567, 20: 327.9595919643313, 21: 676.7964314454746, 22: 672.7921905889544, 23: 261.0385839742143, 24: 630.808311003083, 25: '0.5634061758357655', 26: '1.0', 27: '1.0', 28: '3', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.7180331929999966', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 3} 
{0: '116.16071600688998', 1: 926.0691400606164, 2: 444.3827943672706, 3: 628.631456145819, 4: 984.0475705312672, 5: 756.572971569168, 6: 570.3144148293052, 7: 801.9029607044843, 8: 1023.7037961249023, 9: 543.0822109881514, 10: 482.99155157714426, 11: 1090.3253446258543, 12: 553.9357175756476, 13: 213.09369458650315, 14: 910.4594022832371, 15: 600.26111273581, 16: 152.52931112691397, 17: 593.1819004661347, 18: 661.1020416063574, 19: 336.5348406351345, 20: 327.9686188306374, 21: 693.6185428466287, 22: 657.2728573036803, 23: 263.282037510108, 24: 681.3638643471068, 25: '0.58080358003445', 26: '0.996', 27: '1.0', 28: '4', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.74165548900001', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 4} 
{0: '157.39025317299797', 1: 885.4143927410175, 2: 396.48792593928704, 3: 565.6060315749653, 4: 962.6461625781787, 5: 700.6622498709203, 6: 489.8543527971468, 7: 809.9649916076867, 8: 986.7596288270817, 9: 500.5257645274442, 10: 511.6251404626754, 11: 1088.6609642421868, 12: 583.4122366497757, 13: 241.48426886635752, 14: 939.8513664336928, 15: 693.9665932031903, 16: 161.77139481053996, 17: 630.8917457329746, 18: 772.8620101499449, 19: 317.68562608594374, 20: 346.4479637843466, 21: 766.8678550852063, 22: 617.6820345357455, 23: 246.27568937953527, 24: 682.1620309505968, 25: '0.7869512658649899', 26: '0.9966666666666667', 27: '1.0', 28: '5', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.632136968999987', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 5} 
{0: '144.97417971417724', 1: 889.5915703690795, 2: 396.54239815387285, 3: 600.9739595537152, 4: 971.2147874076172, 5: 698.023811577347, 6: 519.2935442170608, 7: 817.1226822932216, 8: 983.3036847144149, 9: 507.12200499080416, 10: 513.0063558550773, 11: 1086.3950171603149, 12: 563.2125868187043, 13: 235.83213300528035, 14: 940.2419916130088, 15: 658.9016456011132, 16: 151.51494313646884, 17: 634.0856529742441, 18: 743.7166450581992, 19: 308.4716302760886, 20: 350.66246956649104, 21: 760.7266411648933, 22: 614.3708633563944, 23: 249.2386025066993, 24: 702.8797339350757, 25: '0.7248708985708862', 26: '0.9971428571428571', 27: '1.0', 28: '6', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.7314131220000064', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 6} 
{0: '148.08770664345235', 1: 904.2297605605899, 2: 433.21140301992676, 3: 582.2061495574661, 4: 968.2632725312667, 5: 738.1057431233144, 6: 497.56435629476766, 7: 798.773436526933, 8: 1014.5331171265927, 9: 485.8071612338923, 10: 490.30339694495564, 11: 1101.3856486693185, 12: 545.5029621449157, 13: 222.79022727450138, 14: 941.0946094283817, 15: 645.932735875672, 16: 156.3631131064704, 17: 631.407832357937, 18: 733.774724354991, 19: 328.6780851454233, 20: 357.0225320747699, 21: 750.3186023196694, 22: 638.813935902903, 23: 271.91953524214046, 24: 688.8316907890323, 25: '0.7404385332172617', 26: '0.9975', 27: '1.0', 28: '7', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.623806634999994', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 7} 
{0: '120.13136037533198', 1: 902.1847140464756, 2: 481.5613434865546, 3: 575.3208360709676, 4: 949.6377906168709, 5: 798.7984481398872, 6: 538.798138959736, 7: 762.7544023923926, 8: 1063.4250297002086, 9: 556.8120441515861, 10: 446.6298433878007, 11: 1122.1671404638578, 12: 610.4342766552634, 13: 185.93119326955997, 14: 933.3413225938408, 15: 671.4562152669599, 16: 136.25952852788873, 17: 610.7627337876743, 18: 710.3208019055119, 19: 325.59010352745054, 20: 347.62256374660774, 21: 697.4901051406223, 22: 643.3439688858431, 23: 290.96828909971765, 24: 642.4430298452749, 25: '0.6006568018766599', 26: '0.9977777777777778', 27: '1.0', 28: '8', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.7376749400000051', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 8} 
{0: '119.81302268176083', 1: 933.0514401670848, 2: 584.1702540836627, 3: 600.9676894737227, 4: 929.1831673958575, 5: 905.105310844917, 6: 566.1710192806905, 7: 701.5046597232745, 8: 1135.8231869918561, 9: 580.6239779070523, 10: 378.96426189770256, 11: 1142.2276480202434, 12: 627.3935283747811, 13: 151.1056509248004, 14: 913.2887386387536, 15: 682.2577410857795, 16: 153.60164655768511, 17: 586.7099841151883, 18: 719.3355434560742, 19: 383.3423390252225, 20: 357.8262590283399, 21: 710.12158050391, 22: 707.1818716696689, 23: 353.75421477463317, 24: 661.9678492179609, 25: '0.5990651134088042', 26: '0.998', 27: '1.0', 28: '9', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.6168970500000057', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 9} 
{0: '125.06313800908711', 1: 915.849465888437, 2: 585.6074441118599, 3: 589.8309018639081, 4: 910.0053232088073, 5: 905.8297453129701, 6: 549.2278692319694, 7: 682.1327014157471, 8: 1136.202467493002, 9: 565.9493032417352, 10: 361.04930225631927, 11: 1142.6629164913013, 12: 621.8459004947313, 13: 135.55837777476023, 14: 914.2101382260872, 15: 687.4646763065432, 16: 140.11349253662502, 17: 588.3840648347624, 18: 730.4913791417637, 19: 370.19219393814643, 20: 359.9477130235411, 21: 718.9126559414796, 22: 692.527349575657, 23: 355.79682038166527, 24: 661.5521833583977, 25: '0.6253156900454355', 26: '0.9981818181818182', 27: '1.0', 28: '10', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '0.6419220089999982', 34: 'bayesian_cluster_484/rmfs//0.rmf3', 35: 10} 
