{'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "environ({'SHELL': '/bin/bash', 'PYTHONUNBUFFERED': '1', 'WSL2_GUI_APPS_ENABLED': '1', 'WSL_DISTRO_NAME': 'Ubuntu', 'PYCHARM_DISPLAY_PORT': '35001', 'PYCHARM_UUID': 'b470e729-5475-361a-a407-92698cd81233', 'NAME': 'ZBook', 'PWD': '/home/daniel/Thesis/smlm_score', 'LOGNAME': 'daniel', 'HOME': '/home/daniel', 'LANG': 'C.UTF-8', 'WSL_INTEROP': '/run/WSL/1017_interop', 'WAYLAND_DISPLAY': 'wayland-0', 'PYTHONPATH': '/tmp/bl8axY/:/tmp/bl8axY/src:/home/daniel/.pycharm_helpers/pycharm_plotly_backend:/home/daniel/.pycharm_helpers/pycharm_altair_backend:/home/daniel/.pycharm_helpers/pycharm_matplotlib_backend:/home/daniel/.pycharm_helpers/pycharm_display', 'TERM': 'xterm-256color', 'USER': 'daniel', 'PYTHONIOENCODING': 'UTF-8', 'DISPLAY': ':0', 'SHLVL': '0', 'PYCHARM_PROJECT_ID': '4a4c41a4', 'XDG_RUNTIME_DIR': '/run/user/1000/', 'PYCHARM_INTERACTIVE_PLOTS': '1', 'WSLENV': '', 'XDG_DATA_DIRS': '/usr/local/share:/usr/share:/var/lib/snapd/desktop', 'PATH': '/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files/NVIDIA Corporation/NVIDIA App/NvDLISR:/mnt/c/Program Files/Git/cmd:/mnt/c/Users/User/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/User/AppData/Local/Programs/Antigravity/bin:/mnt/c/Users/User/AppData/Local/JetBrains/Toolbox/scripts:/mnt/c/Users/User/AppData/Local/PowerToys/DSCModules/:/snap/bin', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'HOSTTYPE': 'x86_64', 'PYCHARM_HOSTED': '1', 'PULSE_SERVER': 'unix:/mnt/wslg/PulseServer', 'OLDPWD': '/mnt/c/WINDOWS/system32', '_': '/home/daniel/miniforge3/envs/smlm/bin/python', 'KMP_DUPLICATE_LIB_OK': 'True', 'KMP_INIT_AT_FORK': 'FALSE'})", 'STAT2HEADER_IMP_VERSIONS': "{'IMP_VERSION': '2.22.0', 'PMI_VERSION': '2.22.0'}", 0: 'GMMScoringRestraint_Score', 1: 'AV_0_x', 2: 'AV_0_y', 3: 'AV_0_z', 4: 'AV_1_x', 5: 'AV_1_y', 6: 'AV_1_z', 7: 'AV_2_x', 8: 'AV_2_y', 9: 'AV_2_z', 10: 'AV_3_x', 11: 'AV_3_y', 12: 'AV_3_z', 13: 'AV_4_x', 14: 'AV_4_y', 15: 'AV_4_z', 16: 'AV_5_x', 17: 'AV_5_y', 18: 'AV_5_z', 19: 'AV_6_x', 20: 'AV_6_y', 21: 'AV_6_z', 22: 'AV_7_x', 23: 'AV_7_y', 24: 'AV_7_z', 25: 'Total_Score', 26: 'MonteCarlo_Acceptance_NPC_Complex_0', 27: 'MonteCarlo_Temperature', 28: 'MonteCarlo_Nframe', 29: 'ReplicaExchange_SwapSuccessRatio', 30: 'ReplicaExchange_MinTempFrequency', 31: 'ReplicaExchange_MaxTempFrequency', 32: 'ReplicaExchange_CurrentTemp', 33: 'Stopwatch_None_delta_seconds', 34: 'rmf_file', 35: 'rmf_frame_index'} 
{0: '100.00775050900991', 1: 1030.9531627890076, 2: 451.2385181502313, 3: 651.2969459486235, 4: 1042.6545655048808, 5: 773.7210060317834, 6: 641.6426912746384, 7: 822.8358024539804, 8: 1012.2209542382313, 9: 633.0046730344528, 10: 497.49086388359194, 11: 1028.8758139131119, 12: 621.428715305788, 13: 257.0093137458477, 14: 806.4225505470978, 15: 616.3471485353547, 16: 243.3822333019187, 17: 478.2099807187456, 18: 627.5492918220957, 19: 464.3248968765209, 20: 241.0737583887, 21: 641.8389373731437, 22: 791.2655915467516, 23: 226.7878201645761, 24: 652.4738055970771, 25: '0.5000387525450496', 26: '1.0', 27: '1.0', 28: '0', 29: '0', 30: '0', 31: '0', 32: '1.0', 33: '4.640231846000006', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 0} 
{0: '104.78446865965506', 1: 1040.008563880598, 2: 454.3482178576269, 3: 672.5855781698396, 4: 1040.8020068819612, 5: 775.7421675159588, 6: 642.0834139789898, 7: 813.4105676314375, 8: 1004.5668824559007, 9: 607.3053687341298, 10: 488.64921845473145, 11: 1007.9327354803452, 12: 579.3866775785837, 13: 256.6996455231475, 14: 776.5465324011645, 15: 577.8140043322634, 16: 254.10956106952096, 17: 449.4648954201766, 18: 610.1492875586864, 19: 482.2957755887224, 20: 222.4087163020797, 21: 650.5223667831735, 22: 808.6129302648901, 23: 221.4054866057312, 24: 677.4205893780406, 25: '0.5239223432982754', 26: '1.0', 27: '1.0', 28: '1', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '2.2489782810000065', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 1} 
{0: '124.0572596669295', 1: 1047.1668600898329, 2: 495.3619896533947, 3: 697.6115395191123, 4: 1019.2593054434606, 5: 810.2926371742283, 6: 632.3050460068042, 7: 773.9155287798137, 8: 1009.7982427676855, 9: 559.6340488206448, 10: 453.0060826972691, 11: 976.9567932531835, 12: 512.7375371137306, 13: 244.94330306366464, 14: 724.0785605616775, 15: 522.990918099678, 16: 271.4858968339746, 17: 403.524842129494, 18: 590.6332173230039, 19: 517.0660104097706, 20: 206.425967295921, 21: 668.7093587095908, 22: 839.3640629626976, 23: 241.65956362100155, 24: 714.4254969446732, 25: '0.6202862983346475', 26: '1.0', 27: '1.0', 28: '2', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '1.9829939859999968', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 2} 
{0: '110.67945341196489', 1: 1055.3686348161993, 2: 513.3304889825928, 3: 646.5822101273734, 4: 1013.3424115030724, 5: 828.5409508497697, 6: 590.8933985704654, 7: 756.9755354889509, 8: 1023.7209968864847, 9: 552.7108926981432, 10: 433.44206414551826, 11: 984.5869167183916, 12: 545.2722845379309, 13: 233.30946455557932, 14: 727.0869832706737, 15: 576.6311670989855, 16: 274.3826115113641, 17: 406.18969445617165, 18: 634.7052831888884, 19: 531.6064802776666, 20: 213.3376467123108, 21: 678.2645705599522, 22: 856.3237921770458, 23: 254.9115508426592, 24: 684.4033108817845, 25: '0.5533972670598244', 26: '1.0', 27: '1.0', 28: '3', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '2.044214816999954', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 3} 
{0: '115.18226956099308', 1: 1069.6034060006282, 2: 577.4360743306406, 3: 633.4434268353295, 4: 990.8501131781337, 5: 883.9529240096758, 6: 569.6435664784378, 7: 713.2025055968766, 8: 1048.904535788483, 9: 538.3401957525531, 10: 395.8803939748339, 11: 975.0422551463389, 12: 548.9117223956065, 13: 226.7423883627908, 14: 698.956957639779, 15: 599.0305433911054, 16: 305.28332711445455, 17: 386.77953553341723, 18: 665.4478182223339, 19: 583.7848680637545, 20: 224.4388515272077, 21: 701.996915388213, 22: 901.9543102164275, 23: 300.8021992258052, 24: 689.9864410821301, 25: '0.5759113478049654', 26: '1.0', 27: '1.0', 28: '4', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '2.0004303350000328', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 4} 
{0: '111.337769082088', 1: 1077.889990939468, 2: 686.0350886702105, 3: 628.0412641004917, 4: 931.7713791160941, 5: 968.3727285522086, 6: 571.8283578086242, 7: 623.9601570685204, 8: 1067.0955752115517, 9: 543.8429978523994, 10: 331.5512733633435, 11: 923.2234315987025, 12: 551.495920433473, 13: 229.27659434200825, 14: 614.8801021858892, 15: 594.0039655236488, 16: 376.4737400007419, 17: 326.9151267807078, 18: 652.6882869288427, 19: 684.5407241063001, 20: 230.79348922313852, 21: 685.9870345890259, 22: 977.2063614104836, 23: 377.3294357226196, 24: 676.9622127417807, 25: '0.5566888454104401', 26: '0.9966666666666667', 27: '1.0', 28: '5', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '1.8314420639999867', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 5} 
{0: '136.7597510342957', 1: 1052.9566307858179, 2: 793.1502907727581, 3: 691.1959831202278, 4: 855.6102406119063, 5: 1032.4994421702038, 6: 601.8009695022754, 7: 542.7956846969628, 8: 1054.3949913644924, 9: 518.4656962019403, 10: 296.5166962631785, 11: 844.2112385070208, 12: 480.64815936680077, 13: 265.1585095483772, 14: 519.890384292751, 15: 514.9308125221555, 16: 464.4518167943277, 17: 275.3149222004924, 18: 607.1246157754255, 19: 775.9663493265562, 20: 255.95126313977522, 21: 695.6525053209639, 22: 1022.091832639991, 23: 468.7959971916893, 24: 732.0773860295584, 25: '0.6837987551714785', 26: '0.9971428571428571', 27: '1.0', 28: '6', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '2.207034773000032', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 6} 
{0: '143.77387692352931', 1: 1040.0823497175372, 2: 813.5326358097759, 3: 719.8195551018933, 4: 825.6224525522401, 5: 1039.8468805140697, 6: 636.0705395800385, 7: 516.3154280295242, 8: 1039.321258222762, 9: 538.0602465239775, 10: 292.71730228787857, 11: 811.019954318751, 12: 473.69325962815327, 13: 290.18314358903353, 14: 483.5918376162954, 15: 484.9653087788654, 16: 506.93733446657603, 17: 252.06427980384274, 18: 571.2629740972053, 19: 814.475391135622, 20: 254.62476312886673, 21: 674.5452577849135, 22: 1037.7371017561757, 23: 485.65346242824614, 24: 737.6907640015712, 25: '0.7188693846176466', 26: '0.9975', 27: '1.0', 28: '7', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '1.804006481999977', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 7} 
{0: '130.40610619646705', 1: 1053.2837063611437, 2: 805.873236991766, 3: 706.9896485265309, 4: 821.3281972853448, 5: 1023.0132595867306, 6: 649.7888194595507, 7: 507.4651965501759, 8: 1009.1195347509312, 9: 568.7079313136599, 10: 294.44778691843015, 11: 771.6387737752976, 12: 501.72145833806087, 13: 311.9664532777683, 14: 444.62672312996324, 15: 491.77823343829357, 16: 546.6639989934267, 17: 222.28042446018094, 18: 551.0560693625861, 19: 858.947163699937, 20: 237.76488525357473, 21: 637.6176024659433, 22: 1071.397406674042, 23: 478.0166858941873, 24: 703.5825388619102, 25: '0.6520305309823352', 26: '0.9977777777777778', 27: '1.0', 28: '8', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '2.254678861000002', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 8} 
{0: '129.96039154169068', 1: 1060.9410071100317, 2: 776.3523095139617, 3: 669.1351116508055, 4: 840.2513503662084, 5: 1011.747751919422, 6: 658.6401819161324, 7: 520.6157213621968, 8: 1025.8375735842224, 9: 604.6802816244524, 10: 287.35438908881093, 11: 810.9137211248567, 12: 529.4632309539732, 13: 281.95001873175227, 14: 487.1298166471819, 15: 479.68945631391216, 16: 505.18468777524595, 17: 246.1646913786259, 18: 491.38421027985305, 19: 823.801869188159, 20: 233.06864508516844, 21: 551.0920638533134, 22: 1056.6027407367242, 23: 450.89575128078684, 24: 625.6743157448196, 25: '0.6498019577084534', 26: '0.998', 27: '1.0', 28: '9', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '1.8385722979999741', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 9} 
{0: '126.99217261087664', 1: 1051.3167535422647, 2: 750.3579153822848, 3: 681.7198140771395, 4: 836.2410082299218, 5: 990.4273894665828, 6: 663.4399387949118, 7: 517.8019140906607, 8: 1010.6667587494856, 9: 604.5838388763694, 10: 280.764203581431, 11: 799.6225419020441, 12: 530.1917792645488, 13: 268.65234589052045, 14: 475.12116725160644, 15: 486.66232472011745, 16: 486.12785841155454, 17: 229.4507666324792, 18: 506.28710605200433, 19: 803.4907848947653, 20: 210.34159496371666, 21: 570.8553254058434, 22: 1040.1435645547429, 23: 424.2855882586372, 24: 644.5495307191945, 25: '0.6349608630543832', 26: '0.9981818181818182', 27: '1.0', 28: '10', 29: '0.0', 30: '1.0', 31: '0.0', 32: '1.0', 33: '1.825652041000012', 34: 'bayesian_cluster_87/rmfs//0.rmf3', 35: 10} 
