{'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "environ({'SHELL': '/bin/bash', 'PYTHONUNBUFFERED': '1', 'WSL2_GUI_APPS_ENABLED': '1', 'WSL_DISTRO_NAME': 'Ubuntu', 'PYCHARM_DISPLAY_PORT': '35001', 'PYCHARM_UUID': 'b470e729-5475-361a-a407-92698cd81233', 'NAME': 'ZBook', 'PWD': '/home/daniel/Thesis/smlm_score', 'LOGNAME': 'daniel', 'HOME': '/home/daniel', 'LANG': 'C.UTF-8', 'WSL_INTEROP': '/run/WSL/1017_interop', 'WAYLAND_DISPLAY': 'wayland-0', 'PYTHONPATH': '/tmp/bl8axY/:/tmp/bl8axY/src:/home/daniel/.pycharm_helpers/pycharm_plotly_backend:/home/daniel/.pycharm_helpers/pycharm_altair_backend:/home/daniel/.pycharm_helpers/pycharm_matplotlib_backend:/home/daniel/.pycharm_helpers/pycharm_display', 'TERM': 'xterm-256color', 'USER': 'daniel', 'PYTHONIOENCODING': 'UTF-8', 'DISPLAY': ':0', 'SHLVL': '0', 'PYCHARM_PROJECT_ID': '4a4c41a4', 'XDG_RUNTIME_DIR': '/run/user/1000/', 'PYCHARM_INTERACTIVE_PLOTS': '1', 'WSLENV': '', 'XDG_DATA_DIRS': '/usr/local/share:/usr/share:/var/lib/snapd/desktop', 'PATH': '/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files/NVIDIA Corporation/NVIDIA App/NvDLISR:/mnt/c/Program Files/Git/cmd:/mnt/c/Users/User/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/User/AppData/Local/Programs/Antigravity/bin:/mnt/c/Users/User/AppData/Local/JetBrains/Toolbox/scripts:/mnt/c/Users/User/AppData/Local/PowerToys/DSCModules/:/snap/bin', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'HOSTTYPE': 'x86_64', 'PYCHARM_HOSTED': '1', 'PULSE_SERVER': 'unix:/mnt/wslg/PulseServer', 'OLDPWD': '/mnt/c/WINDOWS/system32', '_': '/home/daniel/miniforge3/envs/smlm/bin/python', 'KMP_DUPLICATE_LIB_OK': 'True', 'KMP_INIT_AT_FORK': 'FALSE'})", 'STAT2HEADER_IMP_VERSIONS': "{'IMP_VERSION': '2.22.0', 'PMI_VERSION': '2.22.0'}", 0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_MinTempFrequency', 2: 'ReplicaExchange_MaxTempFrequency', 3: 'ReplicaExchange_CurrentTemp', 4: 'score'} 
{0: '0', 1: '0', 2: '0', 3: '1.0', 4: 0.5000387525450496} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5239223432982754} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6202862983346475} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5533972670598244} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5759113478049654} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5566888454104401} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6837987551714785} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7188693846176466} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6520305309823352} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6498019577084534} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6349608630543832} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.8065430166628039} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.8320831367114504} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7535629958297172} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6159364032150031} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6270986744778798} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7370563685720779} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7472191794956426} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6632743044994578} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5350663512939612} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5842498058321164} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5413104131711047} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7035420485320243} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.8081251675789233} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7871767987307692} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7293113857144191} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6952558431744015} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7937869637423002} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.6485110075332056} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5156463848336693} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5224529021366692} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5701324518084114} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5504017427695044} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5240896567184565} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5558211843689147} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.5856148669264308} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.638640689521817} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.7877013745514135} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.8842261402624414} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.9095771727638698} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.8317447548773977} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.910933352981792} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 0.9045267642940391} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.021530665193061} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.1661208848887956} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.2198578781727125} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.3255520444190743} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.426540932657562} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 2.0645429362568515} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 2.263140605466174} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 2.3053998704020255} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.7743399500291324} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.6633525702450522} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.778824232752477} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.0', 4: 1.7167913147154736} 
