"date","folder","name","source_path","corpus_path","bytes","preview"
"2026-03-17 21:09:15","a618d888-2bed-4b8c-a0e2-d6f6569f78de","thesis_code_crossreference.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\thesis_code_crossreference.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-17_2109_thesis_code_crossreference.md","6863","# Code Assessment: smlm_score vs Tutorials ## Quick Summary | Tutorial Concept | Your Code Status | Notes | |:---|:---:|:---| | IMP Model / Particle / XYZ | âœ… Correct | `input.py`, `data_handling.py` | | IMP.bff AV computation | âœ… Correct | `compute_av()` matches BFF pattern |"
"2026-03-17 21:14:56","a618d888-2bed-4b8c-a0e2-d6f6569f78de","code_review_NPC_example_BD.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\code_review_NPC_example_BD.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-17_2114_code_review_NPC_example_BD.md","5838","# Code Review: NPC_example_BD.py ## ðŸ”´ Critical Bugs ### Bug 1: `TARGET_CLUSTER_ID = 0` may not exist (Line 29 â†’ 108) ```python TARGET_CLUSTER_ID = 0 # Line 29"
"2026-03-19 23:29:18","a618d888-2bed-4b8c-a0e2-d6f6569f78de","NPC_Modeling_Pipeline_Overview.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\NPC_Modeling_Pipeline_Overview.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-19_2329_NPC_Modeling_Pipeline_Overview.md","2965","# SMLM-IMP Modeling Pipeline Overview This document outlines the formalized 4-stage workflow for processing SMLM localizations, isolating individual NPC structures, and scoring them against a 7N85 PDB model using Bayesian Markov Chain Monte Carlo (MCMC) sampling. --- ## Stage 1: Data Mastery (Ingest & ROI) * **Input:** SMLM CSV files (ShareLoc format) + PDB Structural Model (`7N85-assembly1.cif`)."
"2026-03-21 00:05:15","a618d888-2bed-4b8c-a0e2-d6f6569f78de","NPC_pipeline_manual.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\NPC_pipeline_manual.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-21_0005_NPC_pipeline_manual.md","6632","# SMLM Score Pipeline: Manual & Technical Overview This manual provides instructions on how to use the `NPC_example_BD.py` script, outlines what the recently fixed features do, and offers a detailed, step-by-step overview of the entire modelling and scoring process. --- ## 1. Quick Start Guide "
"2026-03-22 17:49:35","a618d888-2bed-4b8c-a0e2-d6f6569f78de","benchmarking_thesis_results.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\benchmarking_thesis_results.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-22_1749_benchmarking_thesis_results.md","1937","# Scoring Functions Computational Benchmarks Here are the benchmarking results comparing **Distance** $\mathcal{O}(NM)$, **Tree** $\mathcal{O}(N \log M)$, and **GMM** $\mathcal{O}(NK)$ scoring methods. The benchmarks bypass IMP overhead entirely and directly measure the mathematical execution times as tested in `tests/test_scoring.py` during your MCMC sampling. ## Figure A: Per-Step Scaling (Time vs Data Size) This log-log plot demonstrates the empirical scaling behaviors of the three methods as the raw SMLM dataset grows from extremely sparse (100 points) to extremely dense (10,000 points). ![Scoring Engine Computational Scaling](file:///C:/Users/User/.gemini/antigravity/brain/a618d888-2bed-4b8c-a0e2-d6f6569f78de/bench_figA_scaling.png)"
"2026-03-22 18:04:29","a618d888-2bed-4b8c-a0e2-d6f6569f78de","benchmarking_thesis_results_experimental.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\benchmarking_thesis_results_experimental.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-22_1804_benchmarking_thesis_results_experimental.md","1997","# Scoring Benchmarks on Real Experimental SMLM Data This benchmark repeats the pure computational tests, but this time extracts precise subsets from your actual `ShareLoc_Data/data.csv` bounding box (10k-12k x, 0-5k y). This proves to your thesis readers that the synthetic noise scaling perfectly aligns with the real-world cluster structures handled by the pipeline. ## Figure C: Experimental Evaluation Scaling (Log-Log) Using the real dataset (ranging up to the maximum 29,472 points found in the bounding box), we again clearly see the distinct mathematical complexity classes. ![Experimental Scaling](file:///C:/Users/User/.gemini/antigravity/brain/a618d888-2bed-4b8c-a0e2-d6f6569f78de/bench_figC_exp_scaling.png)"
"2026-03-22 21:08:08","a618d888-2bed-4b8c-a0e2-d6f6569f78de","implementation_plan_frequentist.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\implementation_plan_frequentist.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-22_2108_implementation_plan_frequentist.md","5846","# Frequentist Optimization Pipeline Add a gradient-based (MLE) optimization path to the existing Bayesian MCMC pipeline, selectable via a flag. Instead of sampling a posterior distribution, a local optimizer drives the IMP model to a single best-fit structure. ## User Review Required > [!IMPORTANT] > **No GMM support.** GMM's likelihood is computed on the *fitted Gaussian parameters*, not on the raw data points. Moving the IMP model particles does not change the GMM landscapeâ€”the gradient is always zero w.r.t. model coordinates. Only **Distance** and **Tree** scores have a true model-dependent gradient and are suitable for optimization."
"2026-03-22 21:50:53","a618d888-2bed-4b8c-a0e2-d6f6569f78de","implementation_plan_brownian.md","C:\Users\User\OneDrive\Desktop\brain\a618d888-2bed-4b8c-a0e2-d6f6569f78de\implementation_plan_brownian.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\a618d888-2bed-4b8c-a0e2-d6f6569f78de_2026-03-22_2150_implementation_plan_brownian.md","2585","# Brownian Dynamics Integration Plan The pipeline currently supports: 1. **Bayesian Mode (MCMC)**: Uses Monte Carlo sampling to explore the posterior distribution. Needs no gradients (works with GMM). 2. **Frequentist Mode (CG)**: Uses `ConjugateGradients` to find the exact local minimum. Relies on analytical gradients (Tree/Distance). We will add a third mode: 3. **Brownian Mode (BD)**: Uses `IMP.atom.BrownianDynamics`. It combines the gradient-following of the Frequentist mode with temperature-based random perturbations, simulating the physical ""pull"" of the data on the molecular structure over time. Like Frequentist mode, it requires the analytical gradients we just implemented for Tree and Distance scores."
"2026-03-27 20:24:22","1c878c32-e0ce-4228-8d49-dbf6f865e789","walkthrough_clustering_fix.md","C:\Users\User\OneDrive\Desktop\brain\1c878c32-e0ce-4228-8d49-dbf6f865e789\walkthrough_clustering_fix.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\1c878c32-e0ce-4228-8d49-dbf6f865e789_2026-03-27_2024_walkthrough_clustering_fix.md","2606","# Pipeline Update: Memory Efficiency & API Consistency The recent updates focused on resolving a critical memory crash during NPC clustering and standardizing data filtering API return types across the codebase. ## 1. Memory Crash Fix (Stage 4 Clustering) The `isolate_individual_npcs` function in [data_handling.py](file:///C:/Users/User/OneDrive/Desktop/Thesis/smlm_score/src/utility/data_handling.py) was prone to a `MemoryError` (unable to allocate ~25 GiB) when `perform_geometric_merging=True` was applied to large clean datasets (~89k points). - **The Issue**: Point-wise `AgglomerativeClustering` with complete linkage has $O(n^2)$ memory complexity because it computes a full distance matrix (`pdist`). - **The Fix**: Introduced a **safe split strategy** at [line 255](file:///C:/Users/User/OneDrive/Desktop/Thesis/smlm_score/src/utility/data_handling.py#L255):"
"2026-03-27 21:21:45","1c878c32-e0ce-4228-8d49-dbf6f865e789","walkthrough_workspace_cleanup.md","C:\Users\User\OneDrive\Desktop\brain\1c878c32-e0ce-4228-8d49-dbf6f865e789\walkthrough_workspace_cleanup.md","\\wsl.localhost\Ubuntu\home\daniel\Thesis\smlm_score\docs\brain_ai_corpus\artifacts\1c878c32-e0ce-4228-8d49-dbf6f865e789_2026-03-27_2121_walkthrough_workspace_cleanup.md","1518","# Workspace Cleanup Walkthrough I have completed the cleanup of the `smlm_score` workspace. The following unnecessary output files and directories have been removed: ## 1. Caches and Build Artifacts - **`.pytest_cache`**: Removed the root-level pytest cache directory. - **`__pycache__`**: Recursively deleted all 13 Python bytecode cache directories across the `src`, `tests`, and `examples` folders. "
